Model,Mean,Median,Std,Min,Max
LightGBM,8.786743646340184,8.903423729536279,1.195564427401252,6.224241336953078,10.96954776730195
NHITS,6.927076816558838,7.115884780883789,0.7820363640785217,5.228358745574951,8.19516372680664
