unique_id,ds,LightGBM,NHITS
Rocket_Launch,2021-01-01,6.224241336953078,7.9053197
Rocket_Launch,2021-02-01,9.718723832603223,7.26172
Rocket_Launch,2021-03-01,7.539044846124609,6.100582
Rocket_Launch,2021-04-01,10.305253868903948,6.3354597
Rocket_Launch,2021-05-01,8.548978669592225,7.3921804
Rocket_Launch,2021-06-01,8.342509634349586,7.1835866
Rocket_Launch,2021-07-01,10.96954776730195,7.2305245
Rocket_Launch,2021-08-01,8.00869790790275,6.6914024
Rocket_Launch,2021-09-01,7.907857024997648,6.690694
Rocket_Launch,2021-10-01,10.271661147522515,6.250817
Rocket_Launch,2021-11-01,9.52372501041977,7.0481825
Rocket_Launch,2021-12-01,9.6772742791284,8.195164
