iter	Logloss
0	0.5396892166
1	0.4187600708
2	0.3351931763
3	0.2783156586
4	0.2240523338
5	0.1829217148
6	0.1488726997
7	0.1254094696
8	0.1073622608
9	0.09335176468
10	0.08149259567
11	0.07274030209
12	0.06512405396
13	0.05848723412
14	0.05662876606
15	0.05226243973
16	0.04789707184
17	0.04579645157
18	0.04242702484
19	0.04008217812
20	0.03894458771
21	0.03747751236
22	0.03609834194
23	0.03441029072
24	0.03303725243
25	0.03215578318
26	0.03115698814
27	0.03043795109
28	0.02964950085
29	0.02919620752
30	0.02864435911
31	0.02790485144
32	0.02760312557
33	0.02728944063
34	0.02688468933
35	0.0265636611
36	0.0261204195
37	0.02569101334
38	0.02531403303
39	0.02516560078
40	0.02478382111
41	0.02444818258
42	0.02404094219
43	0.02381230354
44	0.02360161304
45	0.02336109638
46	0.02315418243
47	0.02314119816
48	0.02291395426
49	0.02258049011
50	0.02237739325
51	0.02224153757
52	0.02212746382
53	0.02183981895
54	0.02162192583
55	0.02153550625
56	0.021413517
57	0.02133828163
58	0.0212180686
59	0.02109335899
60	0.02088390827
61	0.02071593761
62	0.0205479002
63	0.02034057617
64	0.02023405075
65	0.0200931859
66	0.02001782656
67	0.01980230212
68	0.01976775646
69	0.01955590367
70	0.01941620827
71	0.01918850064
72	0.01902970791
73	0.0189289999
74	0.01885695219
75	0.01876280069
76	0.01857237697
77	0.01842775345
78	0.01832185507
79	0.01817009926
80	0.01795751333
81	0.0177732861
82	0.01759316206
83	0.01740994692
84	0.01736702442
85	0.01723894835
86	0.01705216527
87	0.01692862272
88	0.01678164005
89	0.01672751188
90	0.01664087534
91	0.01649036407
92	0.01637975574
93	0.01627407074
94	0.01615518332
95	0.01614727497
96	0.01606740236
97	0.01590978861
98	0.01584213257
99	0.01573288202
100	0.0156284523
101	0.01556208611
102	0.01548806906
103	0.01540012836
104	0.01531484127
105	0.01526100159
106	0.0152390337
107	0.01516775846
108	0.01514578819
109	0.0150929904
110	0.01503265142
111	0.01496687651
112	0.01485765934
113	0.01473097563
114	0.01460747957
115	0.01447017312
116	0.0144571805
117	0.01437593699
118	0.01425812006
119	0.01420454741
120	0.01400807142
121	0.01399196148
122	0.01397113562
123	0.01393095255
124	0.013875072
125	0.01376362801
126	0.01365446091
127	0.01354355812
128	0.01347597837
129	0.01346174717
130	0.01339323759
131	0.01327937603
132	0.01327645779
133	0.01319493771
134	0.01307559967
135	0.01304332733
136	0.01302709341
137	0.01301561117
138	0.0129138577
139	0.01284665704
140	0.0127860713
141	0.01271452188
142	0.01270375013
143	0.01259745121
144	0.01248003483
145	0.0124174881
146	0.01238115788
147	0.01232550144
148	0.01222909451
149	0.01214031219
150	0.01203736901
151	0.01193939209
152	0.0118851006
153	0.0118636775
154	0.01177627563
155	0.01171758294
156	0.01161449432
157	0.01155975103
158	0.01149430633
159	0.01138419628
160	0.01133677483
161	0.01129816055
162	0.01124776363
163	0.01120321155
164	0.01115593195
165	0.01114085793
166	0.0110976243
167	0.011063416
168	0.01100656033
169	0.01099966288
170	0.01095868707
171	0.01086056232
172	0.01084407568
173	0.01078039527
174	0.01076138973
175	0.01074679613
176	0.01064843178
177	0.01060728788
178	0.0105937171
179	0.0105558157
180	0.01047164679
181	0.01042737126
182	0.01038329959
183	0.01035792112
184	0.01029193521
185	0.01023092628
186	0.01014536977
187	0.01010776639
188	0.01008670092
189	0.01004986167
190	0.01003827333
191	0.01002812147
192	0.00999245882
193	0.009953519106
194	0.009912855625
195	0.009858457446
196	0.009781146646
197	0.009746329784
198	0.0097126472
199	0.009706848264
200	0.009686780572
201	0.009655650258
202	0.009602659345
203	0.009562401175
204	0.009529446959
205	0.00948759079
206	0.009456838369
207	0.009409598708
208	0.009376179576
209	0.009347147346
210	0.00931306839
211	0.009287185669
212	0.009256078005
213	0.009227178693
214	0.009195731878
215	0.009152969122
216	0.009119969606
217	0.009092929959
218	0.009056419134
219	0.009016658068
220	0.008967661858
221	0.008932155967
222	0.008904809952
223	0.008875210285
224	0.008834788799
225	0.008804965019
226	0.00877753675
227	0.008738732934
228	0.008712699413
229	0.008677226901
230	0.008652919531
231	0.008645218015
232	0.008616957664
233	0.008586953878
234	0.008551923037
235	0.008519131541
236	0.008485660553
237	0.008449773192
238	0.008419290781
239	0.00835396409
240	0.008332093954
241	0.008298690319
242	0.008238235712
243	0.008193883896
244	0.008132933378
245	0.00808803916
246	0.008057236671
247	0.008001434207
248	0.007972871065
249	0.00793291688
250	0.007841972113
251	0.007795607448
252	0.007713133097
253	0.007686822414
254	0.007646947503
255	0.007597398758
256	0.007569200993
257	0.007542801499
258	0.007505863309
259	0.007481203079
260	0.007456622124
261	0.007399889827
262	0.00736546278
263	0.007322981358
264	0.007279345989
265	0.007235718966
266	0.007184556127
267	0.007133164406
268	0.007100998163
269	0.007081478834
270	0.007045917511
271	0.007009176016
272	0.006989859939
273	0.006968938112
274	0.006921572685
275	0.0068526721
276	0.006814174056
277	0.006757749915
278	0.00672442317
279	0.006677005291
280	0.006647596955
281	0.006611781716
282	0.0065799582
283	0.006552085876
284	0.006525437832
285	0.006479458809
286	0.006448297501
287	0.006410899162
288	0.006364579797
289	0.006330426931
290	0.006302101016
291	0.006264828444
292	0.006236808896
293	0.006194021702
294	0.006167830229
295	0.006136308908
296	0.00609754324
297	0.006074494123
298	0.006050070524
299	0.006008439064
